Wall time,Step,Value
1645972858.0230517,1355,3.0278701160568744e-05
1645972886.6334352,1361,3.033830398635473e-05
1645972905.7279258,1365,3.0397906812140718e-05
1645972910.424717,1366,3.033830398635473e-05
1645972915.2493975,1367,3.0397906812140718e-05
1645972920.033636,1368,3.0397906812140718e-05
1645972924.79781,1369,3.0397906812140718e-05
1645972957.918398,1376,3.0457509637926705e-05
1645972962.6424348,1377,3.0517112463712692e-05
1645972981.7203088,1381,3.0517112463712692e-05
1645973005.4450371,1386,3.057671710848808e-05
1645973010.1758463,1387,3.0636318115284666e-05
1645973029.2317033,1391,3.0636318115284666e-05
1645973043.3772984,1394,3.069591912208125e-05
1645973062.399536,1398,3.075552376685664e-05
1645973157.1843212,1418,3.099393507000059e-05
1645973176.0912564,1422,3.099393507000059e-05
1645973223.4177213,1432,3.111314072157256e-05
1645973228.1807187,1433,3.111314072157256e-05
1645973247.3143022,1437,3.1172741728369147e-05
1645973256.6802788,1439,3.123234637314454e-05
1645973261.4244788,1440,3.123234637314454e-05
1645973266.2136588,1441,3.1172741728369147e-05
1645973270.9249794,1442,3.123234637314454e-05
1645973285.1431863,1445,3.123234637314454e-05
1645973308.8194146,1450,3.129195101791993e-05
1645973318.2403166,1452,3.135155202471651e-05
1645973322.9360864,1453,3.1411153031513095e-05
1645973337.0111654,1456,3.1411153031513095e-05
1645973346.422626,1458,3.1411153031513095e-05
1645973351.1366305,1459,3.1411153031513095e-05
1645973360.5985692,1461,3.1470757676288486e-05
1645973365.3028421,1462,3.1470757676288486e-05
1645973407.9357724,1471,3.158996332786046e-05
1645973422.0959265,1474,3.158995968988165e-05
1645973426.800659,1475,3.164956433465704e-05
1645973436.2130227,1477,3.164956433465704e-05
1645973469.516349,1484,3.1709168979432434e-05
1645973488.539134,1488,3.1768773624207824e-05
1645973502.7153873,1491,3.176876998622902e-05
1645973516.84749,1494,3.188797563780099e-05
1645973521.547136,1495,3.182837463100441e-05
1645973540.4406292,1499,3.188797563780099e-05
1645973545.1102662,1500,3.194758028257638e-05
1645973559.1897194,1503,3.194758028257638e-05
1645973592.2257621,1510,3.206678229616955e-05
1645973596.9476147,1511,3.200718492735177e-05
1645973601.7031584,1512,3.2007181289372966e-05
1645973611.2322857,1514,3.2007181289372966e-05
1645973620.71114,1516,3.206678229616955e-05
1645973625.4649718,1517,3.212638694094494e-05
1645973658.7174232,1524,3.218599158572033e-05
1645973682.3754792,1529,3.2245592592516914e-05
1645973710.8944068,1535,3.23051935993135e-05
1645973725.1027832,1538,3.236479824408889e-05
1645973729.8673623,1539,3.236479824408889e-05
1645973744.172153,1542,3.236479824408889e-05
1645973777.3275948,1549,3.248400389566086e-05
1645973791.5214233,1552,3.2543604902457446e-05
1645973796.2567751,1553,3.2543604902457446e-05
1645973800.986313,1554,3.2543604902457446e-05
1645973843.6796134,1563,3.2603209547232836e-05
1645973857.8297384,1566,3.266281419200823e-05
1645973862.553713,1567,3.272241519880481e-05
1645973872.0128725,1569,3.272241519880481e-05
1645973886.2327561,1572,3.2782016205601394e-05
1645973891.0322082,1573,3.2782016205601394e-05
1645973895.8202538,1574,3.2782016205601394e-05
1645973910.0133235,1577,3.2841620850376785e-05
1645973928.8721926,1581,3.2841620850376785e-05
1645973952.5241158,1586,3.296082286396995e-05
1645974000.0526402,1596,3.302042750874534e-05
1645974004.791666,1597,3.308003215352073e-05
1645974009.5559127,1598,3.302042750874534e-05
1645974028.564001,1602,3.308003215352073e-05
1645974033.2864525,1603,3.313963316031732e-05
1645974038.0852215,1604,3.313963316031732e-05
1645974076.1989849,1612,3.325883881188929e-05
1645974090.3450506,1615,3.325883881188929e-05
1645974137.7719913,1625,3.3378044463461265e-05
1645974152.090988,1628,3.3378044463461265e-05
1645974171.0906773,1632,3.343764547025785e-05
1645974190.0887165,1636,3.343764547025785e-05
1645974199.4759483,1638,3.349725011503324e-05
1645974213.6528623,1641,3.355685475980863e-05
1645974218.364782,1642,3.355685475980863e-05
1645974242.0495567,1647,3.3616452128626406e-05
1645974246.8592355,1648,3.3616452128626406e-05
1645974265.8726015,1652,3.36760567734018e-05
1645974270.6544158,1653,3.36760567734018e-05
1645974275.3740356,1654,3.373566141817719e-05
1645974280.072622,1655,3.36760567734018e-05
1645974289.5172365,1657,3.373566141817719e-05
1645974318.0347977,1663,3.3854863431770355e-05
1645974336.959621,1667,3.3854863431770355e-05
1645974355.9439132,1671,3.3914468076545745e-05
1645974374.8970675,1675,3.3914468076545745e-05
1645974389.0930977,1678,3.403367372811772e-05
1645974398.6119435,1680,3.403367009013891e-05
1645974426.948035,1686,3.40932747349143e-05
1645974431.6820736,1687,3.40932747349143e-05
1645974436.4180825,1688,3.4152879379689693e-05
1645974441.2047834,1689,3.40932747349143e-05
1645974464.988083,1694,3.4152879379689693e-05
1645974469.7497094,1695,3.4152879379689693e-05
1645974474.4658675,1696,3.4152879379689693e-05
1645974493.4310882,1700,3.421248038648628e-05
1645974507.7414596,1703,3.421248038648628e-05
1645974517.2030513,1705,3.427208139328286e-05
1645974531.3880973,1708,3.433168603805825e-05
1645974540.8320906,1710,3.433168603805825e-05
1645974545.5093672,1711,3.433168603805825e-05
1645974550.2530856,1712,3.433168603805825e-05
1645974554.991646,1713,3.439129068283364e-05
1645974583.4269323,1719,3.4450891689630225e-05
1645974602.2672665,1723,3.451049269642681e-05
1645974607.0437667,1724,3.451049269642681e-05
1645974611.7679229,1725,3.451049269642681e-05
1645974616.4884825,1726,3.451049269642681e-05
1645974640.3635192,1731,3.462969834799878e-05
1645974678.3417857,1739,3.462969834799878e-05
1645974683.064075,1740,3.4689299354795367e-05
1645974702.0331306,1744,3.4689299354795367e-05
1645974711.475665,1746,3.480850500636734e-05
1645974725.7116997,1749,3.474890399957076e-05
1645974735.1889498,1751,3.480850500636734e-05
1645974749.3685596,1754,3.480850500636734e-05
1645974754.058492,1755,3.486810965114273e-05
1645974792.1194513,1763,3.4987315302714705e-05
1645974806.3084695,1766,3.4987315302714705e-05
1645974853.6728675,1776,3.510651731630787e-05
1645974863.145598,1778,3.516612196108326e-05
1645974877.4369178,1781,3.516612196108326e-05
1645974896.4562213,1785,3.5225726605858654e-05
1645974901.2086368,1786,3.5225726605858654e-05
1645974905.9340796,1787,3.5225726605858654e-05
1645974920.1299849,1790,3.528532761265524e-05
1645974934.3517983,1793,3.534492861945182e-05
1645974953.3395565,1797,3.534492861945182e-05
1645974972.418146,1801,3.534492861945182e-05
1645974981.8698428,1803,3.540453326422721e-05
1645975010.1697137,1809,3.552373527782038e-05
1645975019.7012308,1811,3.552373527782038e-05
1645975062.4475267,1820,3.564294456737116e-05
1645975081.422333,1824,3.564294092939235e-05
1645975095.7022634,1827,3.564294456737116e-05
1645975100.4490697,1828,3.5702541936188936e-05
1645975109.9023962,1830,3.576214658096433e-05
1645975114.6756217,1831,3.576214658096433e-05
1645975124.163351,1833,3.576214658096433e-05
1645975142.9849825,1837,3.582175122573972e-05
1645975152.5536416,1839,3.582175122573972e-05
1645975185.8679316,1846,3.58813522325363e-05
1645975190.5884063,1847,3.5940953239332885e-05
1645975195.328425,1848,3.58813522325363e-05
1645975199.9873748,1849,3.5940953239332885e-05
1645975214.1421688,1852,3.5940953239332885e-05
1645975256.872969,1861,3.606015889090486e-05
1645975280.6316464,1866,3.611975989770144e-05
1645975285.3922923,1867,3.611975989770144e-05
1645975290.1759882,1868,3.611976353568025e-05
1645975309.2720737,1872,3.617936454247683e-05
1645975313.96392,1873,3.6238969187252223e-05
1645975323.3838937,1875,3.6238969187252223e-05
1645975337.68422,1878,3.6238969187252223e-05
1645975351.7876496,1881,3.629857019404881e-05
1645975366.008902,1884,3.635817120084539e-05
1645975370.7965498,1885,3.635817120084539e-05
1645975380.2279947,1887,3.635817120084539e-05
1645975389.639953,1889,3.641777584562078e-05
1645975399.1218338,1891,3.635817120084539e-05
1645975422.8699937,1896,3.647738049039617e-05
1645975441.8499844,1900,3.647738049039617e-05
1645975456.0775824,1903,3.653697785921395e-05
1645975484.5850039,1909,3.659658250398934e-05
1645975489.2925768,1910,3.659658250398934e-05
1645975494.0795586,1911,3.659658250398934e-05
1645975508.2394738,1914,3.665618714876473e-05
1645975531.8861623,1919,3.6715784517582506e-05
1645975560.4820194,1925,3.6775389162357897e-05
1645975565.244469,1926,3.6775389162357897e-05
1645975584.1637216,1930,3.683499380713329e-05
1645975612.6242115,1936,3.6954195820726454e-05
1645975617.3681316,1937,3.689459481392987e-05
1645975636.3665717,1941,3.6954195820726454e-05
1645975641.1315925,1942,3.6954195820726454e-05
1645975645.8652682,1943,3.7013800465501845e-05
1645975660.1457047,1946,3.7013800465501845e-05
1645975669.5732281,1948,3.7013800465501845e-05
1645975683.765428,1951,3.707340147229843e-05
1645975697.9819643,1954,3.713300247909501e-05
1645975712.2493155,1957,3.713300247909501e-05
1645975731.2124348,1961,3.71926071238704e-05
1645975735.9048645,1962,3.71926071238704e-05
1645975740.6047583,1963,3.7252208130666986e-05
1645975745.3301587,1964,3.725221176864579e-05
1645975750.181368,1965,3.71926071238704e-05
1645975759.693189,1967,3.7252208130666986e-05
1645975764.4872172,1968,3.731181277544238e-05
1645975769.268018,1969,3.731180913746357e-05
1645975811.9401734,1978,3.737141378223896e-05
1645975821.329966,1980,3.743101842701435e-05
1645975830.7767355,1982,3.743101842701435e-05
1645975849.6319342,1986,3.749061579583213e-05
1645975859.17405,1988,3.749061579583213e-05
1645975863.8756928,1989,3.755022044060752e-05
1645975878.0014534,1992,3.755022044060752e-05
1645976000.9464269,2018,3.784823275054805e-05
1645976019.8292284,2022,3.784823275054805e-05
1645976024.5544138,2023,3.784823275054805e-05
1645976043.4486835,2027,3.790783375734463e-05
1645976052.9718912,2029,3.7967438402120024e-05
1645976067.1597676,2032,3.802703940891661e-05
1645976086.0858805,2036,3.802703940891661e-05
1645976090.8025703,2037,3.8027043046895415e-05
1645976109.8603163,2041,3.808664041571319e-05
1645976124.0795574,2044,3.808664041571319e-05
1645976142.882427,2048,3.814624506048858e-05
1645976175.9210854,2055,3.826544707408175e-05
1645976180.6725166,2056,3.8205846067285165e-05
1645976185.4544787,2057,3.820584970526397e-05
1645976237.18429,2068,3.838465636363253e-05
1645976241.9038506,2069,3.838465636363253e-05
1645976251.3361669,2071,3.838465636363253e-05
1645976270.1720726,2075,3.8444253732450306e-05
1645976293.8756194,2080,3.85038583772257e-05
1645976317.4820256,2085,3.85038583772257e-05
1645976326.979208,2087,3.856346302200109e-05
1645976331.7480903,2088,3.856346302200109e-05
1645976341.1751275,2090,3.8623060390818864e-05
1645976345.9847627,2091,3.862306402879767e-05
1645976350.7623405,2092,3.862306402879767e-05
1645976369.784666,2096,3.8682665035594255e-05
1645976379.3131497,2098,3.8682665035594255e-05
1645976383.985091,2099,3.8742269680369645e-05
1645976393.391984,2101,3.8682665035594255e-05
1645976407.5171714,2104,3.880187068716623e-05
1645976417.0372152,2106,3.8742269680369645e-05
1645976436.0933812,2110,3.880187068716623e-05
1645976440.7988262,2111,3.880187068716623e-05
1645976459.7791529,2115,3.886147169396281e-05
1645976464.5598345,2116,3.886147169396281e-05
1645976483.5490005,2120,3.89210763387382e-05
1645976488.26335,2121,3.8980677345534787e-05
1645976502.445038,2124,3.8980680983513594e-05
1645976507.1543949,2125,3.8980677345534787e-05
1645976521.4595847,2128,3.8980680983513594e-05
1645976559.609324,2136,3.904027835233137e-05
1645976564.305047,2137,3.909988299710676e-05
1645976578.5085733,2140,3.9159484003903344e-05
1645976597.4370356,2144,3.9159484003903344e-05
1645976625.8837974,2150,3.921908501069993e-05
1645976649.5513606,2155,3.927868965547532e-05
1645976672.9603648,2160,3.93382906622719e-05
1645976677.7104757,2161,3.933829430025071e-05
1645976687.2145536,2163,3.93382906622719e-05
1645976720.127835,2170,3.9457496313843876e-05
1645976753.2311254,2177,3.951710095861927e-05
1645976805.0255163,2188,3.957669832743704e-05
1645976814.4552884,2190,3.9636302972212434e-05
1645976837.9847574,2195,3.9695907616987824e-05
1645976861.6074355,2200,3.975550862378441e-05
1645976871.0044703,2202,3.975550862378441e-05
1645976875.6351562,2203,3.975550862378441e-05
1645976880.4374092,2204,3.975550862378441e-05
1645976908.7713838,2210,3.981510963058099e-05
